,all_text_data,len
0,"[2171, 102, 8412, 102, 2735, 10880, 102, 8827, 2140, 2595, 19481, 2692, 2232, 102, 6412, 102, 8412, 102, 2735, 10880, 102, 8827, 2140, 2595, 19481, 2692, 2232, 102, 5583, 102, 3298, 102, 2291, 102, 3943, 1011, 1015, 1013, 1017, 102, 3429, 102, 11575, 102, 10898, 102, 14262, 6767, 102, 3177, 102, 2491, 102, 8127, 102, 3048, 102, 16853, 102, 6887, 17175, 102, 15110, 102, 20886, 102, 6323, 102, 2358, 18871, 102, 10763, 102, 5703, 102, 4309, 27292, 102, 6510, 102, 2491, 102]",82
1,"[2171, 102, 21299, 102, 9353, 3560, 3775, 9335, 2015, 102, 1019, 102, 2186, 102, 3523, 102, 5882, 102, 2291, 102, 2572, 22275, 2497, 2243, 102, 6412, 102, 21299, 102, 9353, 3560, 3775, 9335, 2015, 102, 1019, 102, 2186, 102, 3523, 102, 5882, 102, 2291, 102, 2572, 22275, 2497, 2243, 102, 1016, 102, 7037, 102, 14291, 102, 7492, 102, 2048, 102, 1016, 1011, 1015, 1013, 1016, 102, 1005, 102, 2898, 1011, 2846, 102, 6853, 102, 5882, 102, 3928, 102, 3321, 102, 11336, 102, 2048, 102, 1019, 1011, 1015, 1013, 1016, 102, 1005, 102, 15854, 24396, 102, 3263, 102, 11042, 102, 4098, 102, 2373, 102, 2304, 102, 3926, 102]",107
2,"[2171, 102, 8412, 102, 6942, 2121, 102, 24829, 2615, 12740, 2015, 102, 6412, 102, 8412, 102, 6942, 2121, 102, 24829, 2615, 12740, 2015, 102, 11027, 2015, 102, 12532, 10087, 11873, 102, 28667, 18256, 11873, 102, 15196, 102, 9233, 102, 2640, 102, 1018, 102, 1037, 1013, 1058, 102, 20407, 102, 1055, 1011, 2678, 102, 2990, 2015, 102, 1015, 102, 1037, 1013, 1058, 102, 6434, 102, 1055, 1011, 2678, 102, 1006, 102, 1061, 1013, 1039, 102, 1007, 102, 2990, 102, 1016, 102, 5746, 102, 6434, 102]",84
3,"[2171, 102, 8412, 102, 1019, 102, 5860, 102, 3729, 102, 2447, 102, 8561, 3401, 24434, 2629, 102, 6412, 102, 8412, 102, 1019, 102, 5860, 102, 3729, 102, 2447, 102, 1011, 102, 8561, 3401, 24434, 2629, 102, 1019, 102, 5860, 102, 2689, 2099, 102, 8023, 102, 2240, 102, 6434, 102, 3729, 1011, 1054, 1013, 1054, 2860, 102, 18245, 102, 10673, 102, 2322, 102, 2650, 102, 2189, 102, 8094, 102, 3617, 102, 14262, 6767, 102, 2491, 102, 6556, 102, 3474, 102, 6556, 102, 2491, 102]",83
4,"[2171, 102, 21299, 102, 13756, 22407, 102, 17365, 102, 2808, 16001, 2546, 102, 3940, 102, 7492, 102, 2317, 102, 17365, 2860, 2232, 102, 6412, 102, 21299, 102, 17365, 102, 2808, 16001, 2546, 102, 7492, 102, 2317, 102, 17365, 2860, 2232, 102, 20742, 102, 9140, 102, 5882, 102, 2640, 102, 2152, 1011, 26144, 102, 1056, 9148, 20338, 2099, 102, 6853, 102, 8060, 3973, 102, 25474, 102, 21125, 102, 2566, 102, 3940, 102, 2317, 102, 3926, 102]",75
5,"[2171, 102, 7939, 2239, 102, 12991, 102, 8694, 2099, 102, 10722, 16068, 8889, 4103, 102, 6412, 102, 7939, 2239, 102, 12991, 102, 8694, 2099, 102, 10722, 16068, 8889, 4103, 102, 16428, 2015, 102, 2557, 102, 2951, 102, 2291, 102, 2572, 1011, 4718, 102, 2871, 102, 2276, 102, 6721, 102, 3638, 102, 16933, 102, 17372, 102, 16859, 102, 11089, 102, 8185, 102, 13109, 102, 4653, 102, 11887, 102, 6556, 102]",69
6,"[2171, 102, 3829, 14326, 102, 24857, 102, 11220, 102, 16343, 102, 1047, 18098, 2050, 102, 6412, 102, 3829, 14326, 102, 24857, 102, 11220, 102, 16343, 102, 1047, 18098, 2050, 102, 2028, 102, 24857, 102, 11220, 102, 2048, 102, 24857, 102, 16343, 2015, 102, 9344, 102, 8248, 102, 18546, 102, 3926, 102]",51
7,"[2171, 102, 6090, 3022, 12356, 102, 21957, 102, 4013, 102, 6882, 102, 7852, 8571, 102, 17371, 25688, 17788, 2692, 102, 6412, 102, 6090, 3022, 12356, 102, 21957, 102, 4013, 102, 6882, 102, 7852, 8571, 102, 17371, 25688, 17788, 2692, 102, 16719, 102, 21957, 102, 4487, 13102, 16700, 2099, 102, 1016, 1012, 1019, 102, 6053, 102, 1015, 1012, 1019, 102, 6053, 102, 27048, 102, 3601, 102, 7852, 102, 21522, 102, 11583, 102, 2410, 102, 3178, 102, 18144, 102, 3617, 102, 25309, 102, 2512, 21354, 102, 18898, 102, 3733, 102, 27686, 102]",90
8,"[2171, 102, 8412, 102, 7471, 1011, 1999, 1011, 1996, 1011, 4540, 102, 12991, 102, 2132, 19093, 102, 9108, 2099, 3501, 10790, 102, 6412, 102, 8412, 102, 7471, 1011, 1999, 1011, 1996, 1011, 4540, 102, 12991, 102, 2132, 19093, 102, 9108, 2099, 3501, 10790, 102, 12528, 102, 2806, 102, 2410, 1012, 1019, 102, 3461, 102, 4062, 102, 3131, 102, 2630, 102, 3926, 102]",62
9,"[2171, 102, 6090, 3022, 12356, 102, 1016, 1011, 2240, 102, 6377, 102, 7026, 102, 1047, 18413, 11020, 16932, 2860, 102, 6412, 102, 6090, 3022, 12356, 102, 1016, 1011, 2240, 102, 6377, 102, 7026, 102, 1047, 18413, 11020, 16932, 2860, 102, 2655, 102, 3403, 102, 2753, 1011, 2276, 102, 20587, 102, 8909, 102, 2376, 102, 5653, 102, 4471, 1011, 3403, 102, 17245, 102, 5882, 9864, 102, 1017, 1011, 2240, 102, 27662, 102, 4653, 102, 2317, 102, 3926, 102]",77
