,all_text_data,len
0,"[2171, 102, 6971, 7274, 102, 28855, 24333, 102, 1041, 2480, 2595, 2015, 2620, 2620, 2860, 102, 26110, 102, 6942, 102, 1041, 2480, 2595, 2015, 2620, 2620, 2860, 102, 6412, 102, 6971, 7274, 102, 28855, 24333, 102, 1022, 1011, 3417, 102, 2184, 1013, 2531, 102, 6942, 102, 1006, 102, 2047, 1013, 2147, 17058, 102, 1007, 102]",55
1,"[2171, 102, 6971, 7274, 102, 28855, 24333, 102, 1041, 2480, 2595, 2015, 24087, 2860, 102, 26110, 102, 6942, 102, 6412, 102, 1019, 102, 1060, 102, 2184, 1013, 2531, 15058, 1011, 19067, 102, 17595, 102]",34
2,"[2171, 102, 5658, 3351, 2906, 102, 4013, 3736, 7959, 102, 1042, 2015, 10790, 2629, 102, 26110, 102, 6942, 102, 1042, 2015, 10790, 2629, 2532, 102, 6412, 102, 5658, 3351, 2906, 102, 1042, 2015, 10790, 2629, 102, 4013, 3736, 7959, 102, 1019, 102, 3417, 102, 2184, 1013, 2531, 102, 15363, 102, 6942, 102]",52
3,"[2171, 102, 19337, 4939, 102, 4013, 102, 2186, 102, 2152, 102, 11109, 102, 1058, 3654, 1013, 17917, 3654, 102, 8080, 102, 5331, 102, 5830, 102, 1042, 2509, 2232, 2683, 2620, 2475, 1011, 2184, 102, 6412, 102, 1015, 102, 1060, 102, 10751, 1011, 2321, 102, 1015, 102, 1060, 102, 10751, 1011, 2321, 102, 2184, 6199, 102, 28799, 102]",57
4,"[2171, 102, 5658, 3351, 2906, 102, 4013, 3736, 7959, 102, 1046, 10343, 22203, 2575, 102, 26110, 102, 6942, 102, 6412, 102, 5658, 3351, 2906, 102, 4013, 3736, 7959, 102, 2385, 102, 3417, 102, 2184, 1013, 2531, 102, 14513, 20048, 102, 6942, 102, 1011, 102, 1046, 10343, 22203, 2575, 2532, 102]",50
5,"[2171, 102, 18749, 2666, 102, 4979, 102, 28491, 102, 9785, 102, 3298, 102, 3963, 16086, 15136, 102, 6412, 102, 18749, 2666, 102, 4979, 102, 18833, 102, 28491, 102, 1015, 1012, 4008, 102, 16914, 102]",34
6,"[2171, 102, 9330, 102, 1047, 2361, 102, 4029, 11514, 102, 6140, 102, 15110, 102, 3259, 102, 8934, 102, 6255, 24434, 2050, 8889, 2487, 102, 6412, 102, 4029, 102, 3931, 102, 1018, 102, 1005, 102, 1060, 102, 1020, 102, 1005, 102]",40
7,"[2171, 102, 17775, 102, 8753, 102, 9380, 102, 2650, 7384, 102, 18833, 102, 1059, 1013, 8827, 2475, 102, 15581, 2121, 102, 4185, 16703, 2581, 102, 6412, 102, 9380, 102, 18833, 102, 1010, 102, 8827, 1013, 1016, 102]",37
8,"[2171, 102, 6971, 7274, 102, 28855, 24333, 102, 1041, 2546, 23632, 16048, 102, 26110, 102, 6942, 102, 6412, 102, 2385, 102, 1060, 102, 2184, 1013, 2531, 15058, 1011, 19067, 102, 17595, 102]",32
9,"[2171, 102, 6971, 7274, 102, 28855, 24333, 102, 1041, 2546, 23632, 18827, 102, 26110, 102, 6942, 102, 6412, 102, 2484, 102, 1060, 102, 2184, 1013, 2531, 15058, 1011, 19067, 102, 17595, 102]",32
10,"[2171, 102, 6971, 7274, 102, 7107, 102, 15453, 28518, 2102, 102, 1041, 2290, 8889, 2629, 2860, 102, 26110, 102, 6942, 102, 6412, 102, 6971, 7274, 102, 1041, 2290, 8889, 2629, 2860, 102, 15453, 28518, 2102, 102, 1019, 1011, 3417, 102, 2147, 17058, 102, 6942, 102]",45
11,"[2171, 102, 6971, 7274, 102, 1043, 102, 9949, 1011, 1043, 102, 4954, 27009, 2290, 102, 9949, 102, 2958, 102, 6412, 102, 5139, 14905, 4523, 102, 1015, 102, 1060, 102, 2184, 1013, 2531, 15058, 1011, 19067, 102]",36
12,"[2171, 102, 4440, 2361, 102, 5507, 2063, 102, 2373, 16874, 2121, 102, 18034, 1011, 15231, 102, 11087, 1011, 9233, 102, 1999, 16874, 2121, 102, 26189, 24434, 2629, 102, 6412, 102, 7953, 102, 10004, 102, 1024, 2260, 102, 1058, 102, 5887, 102, 6434, 102, 10004, 102, 1024, 6036, 102, 1058, 102, 9353, 102, 18034, 2860, 102, 8187, 1011, 9381, 102, 16913, 8898, 102, 8254, 2063, 102, 4400, 102]",67
13,"[2171, 102, 5658, 3351, 2906, 102, 4013, 3736, 7959, 102, 28177, 10790, 2629, 102, 26110, 102, 6942, 102, 28177, 10790, 2629, 2532, 102, 6412, 102, 5658, 3351, 2906, 102, 4013, 3736, 7959, 102, 1019, 102, 3417, 102, 15453, 28518, 2102, 102, 15363, 102, 6942, 102]",45
14,"[2171, 102, 19337, 4939, 102, 8080, 102, 5830, 102, 1042, 2509, 2232, 2683, 2620, 2475, 1011, 2423, 102, 6412, 102, 1015, 102, 1060, 102, 10751, 1011, 2321, 102, 1015, 102, 1060, 102, 10751, 1011, 2321, 102, 2423, 6199, 102, 2304, 102]",41
15,"[2171, 102, 8833, 4221, 2818, 102, 4439, 102, 2486, 102, 4013, 102, 9160, 102, 1016, 102, 5986, 16703, 2683, 2509, 1011, 5840, 2692, 2509, 102, 6412, 102, 16660, 102]",29
16,"[2171, 102, 19337, 4939, 102, 9353, 102, 5973, 102, 3998, 2860, 102, 2373, 102, 1999, 16874, 2121, 102, 1042, 2629, 2278, 29537, 1011, 3998, 2860, 102, 6412, 102, 7953, 102, 10004, 102, 1024, 2260, 102, 1058, 102, 5887, 102, 6434, 102, 10004, 102, 1024, 7287, 102, 1058, 102, 9353, 102, 3998, 2860, 102, 3706, 102, 8254, 2063, 102, 4400, 102]",60
17,"[2171, 102, 6971, 7274, 102, 9949, 1011, 1043, 102, 2846, 102, 7818, 2121, 102, 9949, 102, 2958, 102, 23277, 2063, 27009, 2290, 102, 6412, 102, 5139, 14905, 4523, 102]",29
