,all_text_data,len
0,"[20014, 14663, 102]",3
1,"[16660, 102]",2
2,"[20014, 14663, 102]",3
3,"[16660, 102]",2
4,"[18106, 102, 4007, 102]",4
5,"[4563, 2140, 102, 3840, 102]",5
6,"[2064, 24676, 1013, 5568, 102, 3028, 102]",7
7,"[20014, 14663, 102]",3
8,"[20014, 14663, 102]",3
9,"[8412, 102, 5541, 102, 4007, 102]",6
10,"[20014, 14663, 102]",3
11,"[16660, 102]",2
12,"[16660, 102]",2
13,"[16660, 102]",2
14,"[16660, 102]",2
15,"[16660, 102]",2
16,"[16660, 102]",2
17,"[16660, 102]",2
18,"[16660, 102]",2
19,"[16660, 102]",2
20,"[16660, 102]",2
21,"[16660, 102]",2
22,"[16660, 102]",2
23,"[16660, 102]",2
24,"[16660, 102]",2
25,"[16660, 102]",2
26,"[16660, 102]",2
27,"[16660, 102]",2
28,"[16660, 102]",2
29,"[16660, 102]",2
30,"[16660, 102]",2
31,"[16660, 102]",2
32,"[16660, 102]",2
33,"[16660, 102]",2
34,"[16660, 102]",2
35,"[16660, 102]",2
36,"[16660, 102]",2
37,"[16660, 102]",2
38,"[16660, 102]",2
39,"[16660, 102]",2
40,"[16660, 102]",2
41,"[16660, 102]",2
42,"[16660, 102]",2
43,"[16660, 102]",2
44,"[16660, 102]",2
45,"[16660, 102]",2
46,"[16660, 102]",2
47,"[16660, 102]",2
48,"[16660, 102]",2
49,"[16660, 102]",2
50,"[16660, 102]",2
51,"[16660, 102]",2
52,"[16660, 102]",2
53,"[16660, 102]",2
54,"[16660, 102]",2
55,"[16660, 102]",2
56,"[16660, 102]",2
57,"[16660, 102]",2
58,"[16660, 102]",2
59,"[16660, 102]",2
60,"[16660, 102]",2
61,"[16660, 102]",2
62,"[16660, 102]",2
63,"[16660, 102]",2
64,"[16660, 102]",2
65,"[16660, 102]",2
66,"[16660, 102]",2
67,"[16660, 102]",2
68,"[16660, 102]",2
69,"[16660, 102]",2
70,"[16660, 102]",2
71,"[16660, 102]",2
72,"[16660, 102]",2
73,"[16660, 102]",2
74,"[16660, 102]",2
75,"[16660, 102]",2
76,"[16660, 102]",2
77,"[16660, 102]",2
78,"[16660, 102]",2
79,"[16660, 102]",2
