,all_text_data,len
0,"[16660, 102, 6160, 102, 11503, 102, 2406, 102, 1011, 102, 4958, 102, 16660, 102, 2325, 102, 8412, 102, 2189, 102, 4024, 102, 16660, 102, 16660, 102]",26
1,"[18168, 2072, 102, 16660, 102, 16660, 102, 16660, 102, 16660, 102, 16660, 102]",13
2,"[12669, 4819, 102, 3345, 2953, 102, 16660, 102, 3769, 102, 1010, 102, 2189, 102, 1010, 102, 3769, 1013, 2600, 102, 1010, 102, 3153, 102, 1010, 102, 2600, 102, 1010, 102, 9458, 102, 3769, 102, 2297, 102, 1010, 102, 2325, 102, 8680, 102, 2636, 102, 1010, 102, 2407, 102, 8412, 102, 2189, 102, 4024, 102, 1017, 1024, 5890, 102, 16660, 102]",60
3,"[16660, 102, 16660, 102, 16660, 102, 16660, 102, 1016, 1024, 2322, 102, 2484, 1011, 13292, 1011, 2403, 102]",18
4,"[16660, 102, 2516, 102, 1006, 102, 15203, 102, 1007, 102, 16660, 102, 16660, 102, 1016, 1024, 4868, 102, 5641, 1011, 5553, 1011, 2321, 102]",24
5,"[16660, 102, 2516, 102, 3769, 102, 1010, 102, 2189, 102, 1010, 102, 3769, 1013, 2600, 102, 1010, 102, 3153, 102, 1010, 102, 2600, 102, 1010, 102, 9458, 102, 3769, 102, 16660, 102, 16660, 102, 5641, 1011, 5553, 1011, 2321, 102]",40
6,"[16660, 102, 2516, 102, 3769, 102, 1010, 102, 2189, 102, 1010, 102, 3769, 1013, 2600, 102, 1010, 102, 3153, 102, 1010, 102, 2600, 102, 1010, 102, 9458, 102, 3769, 102, 2297, 102, 1010, 102, 2325, 102, 8680, 102, 2636, 102, 1010, 102, 2407, 102, 8412, 102, 2189, 102, 4024, 102, 16660, 102, 16660, 102]",54
7,"[12669, 4819, 102, 3345, 2953, 102, 16660, 102, 3769, 102, 1010, 102, 2189, 102, 1010, 102, 3769, 1013, 2600, 102, 1010, 102, 3153, 102, 1010, 102, 2600, 102, 1010, 102, 9458, 102, 3769, 102, 2297, 102, 1010, 102, 2325, 102, 8680, 102, 2636, 102, 1010, 102, 2407, 102, 8412, 102, 2189, 102, 4024, 102, 16660, 102, 5641, 1011, 5553, 1011, 2321, 102]",62
8,"[16660, 102, 16660, 102, 16660, 102, 16660, 102, 16660, 102, 16660, 102]",12
9,"[19166, 102, 12791, 102, 6308, 102, 1006, 102, 15203, 102, 1007, 102, 3769, 102, 1010, 102, 2189, 102, 1010, 102, 2600, 102, 16660, 102, 1018, 1024, 6185, 102, 16660, 102]",30
10,"[19330, 2135, 102, 14163, 2869, 102, 16660, 102, 16660, 102, 16660, 102, 16660, 102, 16660, 102]",16
11,"[16660, 102, 16660, 102, 3769, 102, 1010, 102, 2189, 102, 1010, 102, 3769, 1013, 2600, 102, 1010, 102, 3153, 102, 1010, 102, 2600, 102, 1010, 102, 9458, 102, 3769, 102, 2297, 102, 1010, 102, 2325, 102, 8680, 102, 2636, 102, 1010, 102, 2407, 102, 8412, 102, 2189, 102, 4024, 102, 16660, 102, 5641, 1011, 5553, 1011, 2321, 102]",58
12,"[12669, 4819, 102, 3345, 2953, 102, 2516, 102, 3769, 102, 1010, 102, 2189, 102, 1010, 102, 3769, 1013, 2600, 102, 1010, 102, 3153, 102, 1010, 102, 2600, 102, 1010, 102, 9458, 102, 3769, 102, 2297, 102, 1010, 102, 2325, 102, 8680, 102, 2636, 102, 1010, 102, 2407, 102, 8412, 102, 2189, 102, 4024, 102, 1017, 1024, 5890, 102, 5641, 1011, 5553, 1011, 2321, 102]",64
13,"[16660, 102, 16660, 102, 3153, 102, 1010, 102, 2189, 102, 2325, 102, 3757, 102, 2614, 102, 5633, 102, 5183, 102, 1017, 1024, 3943, 102, 5890, 1011, 13114, 1011, 2321, 102]",30
14,"[16660, 102, 2621, 7292, 102, 12039, 102, 1006, 102, 16554, 102, 3972, 102, 12569, 102, 5443, 1012, 102, 26170, 102, 16216, 19146, 2483, 102, 1007, 102, 1031, 102, 26170, 102, 16216, 19146, 2483, 102, 6136, 102, 1033, 102, 1011, 102, 2309, 102, 3153, 102, 1010, 102, 2189, 102, 1010, 102, 2600, 102, 1010, 102, 4639, 102, 4522, 102, 1010, 102, 4816, 102, 16660, 102, 16660, 102, 2340, 1011, 21650, 1011, 2410, 102]",72
15,"[1047, 26763, 12618, 12399, 102, 26330, 102, 7534, 102, 2087, 102, 6758, 102, 2325, 102, 3153, 102, 1010, 102, 2189, 102, 16660, 102, 1020, 1024, 5388, 102, 16660, 102]",29
16,"[16554, 102, 3972, 102, 12569, 102, 16660, 102, 4522, 102, 1010, 102, 2189, 102, 1010, 102, 2600, 102, 2262, 102, 26572, 7983, 102, 5183, 1012, 102, 1006, 102, 2866, 102, 1007, 102, 1022, 1024, 2410, 102, 16660, 102]",38
17,"[16554, 102, 3972, 102, 12569, 102, 16660, 102, 16660, 102, 16660, 102, 1019, 1024, 2656, 102, 2410, 1011, 21650, 1011, 2403, 102]",22
18,"[16554, 102, 3972, 102, 12569, 102, 1004, 102, 26170, 102, 16216, 19146, 2483, 102, 2402, 102, 3376, 102, 1031, 102, 16554, 102, 3972, 102, 12569, 102, 5443, 1012, 102, 26170, 102, 16216, 19146, 2483, 102, 1033, 102, 1006, 102, 26170, 102, 16216, 19146, 2483, 102, 6136, 102, 2557, 102, 10086, 102, 1007, 102, 1011, 102, 2309, 102, 4522, 102, 1010, 102, 2189, 102, 1010, 102, 2600, 102, 2286, 102, 16554, 102, 3972, 102, 12569, 102, 7262, 102, 11172, 102, 26572, 7983, 102, 5183, 1012, 102, 1006, 102, 2866, 102, 1007, 102, 1012, 102, 2104, 102, 7262, 102, 11172, 102, 6970, 26127, 102, 2636, 102, 3915, 102, 1017, 1024, 4700, 102, 16660, 102]",112
