,all_text_data,len
0,"[16660, 102, 9033, 21693, 7716, 102, 2501, 102]",8
1,"[25292, 21761, 2705, 102, 13433, 8820, 2721, 102, 1010, 102, 13619, 8977, 102, 1041, 1012, 102, 22834, 11639, 28173, 2015, 102, 16660, 102]",23
2,"[2068, 20483, 2243, 6856, 102, 14412, 9739, 3022, 102, 1010, 102, 2957, 102, 15765, 2571, 102, 1010, 102, 24811, 102, 14255, 10404, 9953, 102, 1010, 102, 23455, 102, 22329, 102, 16660, 102]",32
3,"[16660, 102, 16660, 102]",4
4,"[16660, 102, 1058, 6392, 2497, 102]",6
5,"[16660, 102, 16660, 102]",4
6,"[16660, 102, 16660, 102]",4
7,"[10975, 10696, 2368, 102, 7367, 7377, 13626, 2072, 102, 16660, 102]",11
8,"[16660, 102, 16660, 102]",4
9,"[6316, 102, 5553, 2271, 102, 1010, 102, 4789, 102, 1040, 1005, 8657, 102, 16660, 102]",15
10,"[24493, 5644, 102, 20441, 2121, 102, 1010, 102, 6221, 102, 12849, 4757, 5804, 102, 1058, 6392, 2497, 102]",18
11,"[16660, 102, 9033, 21693, 7716, 102, 3034, 102]",8
12,"[11948, 19524, 2078, 102, 1049, 1012, 102, 9033, 12044, 2319, 16566, 2078, 102, 1010, 102, 1038, 14949, 6673, 102, 16405, 20026, 3388, 2721, 102, 1010, 102, 2198, 102, 1037, 1012, 102, 9761, 14733, 102, 1010, 102, 1047, 24292, 2072, 102, 14115, 2213, 24292, 3286, 102, 1010, 102, 6221, 102, 1042, 1012, 102, 15805, 8002, 102, 1058, 6392, 2497, 102, 1046, 1012, 102]",62
13,"[16660, 102, 16660, 102]",4
14,"[16660, 102, 1058, 6392, 2497, 102, 1046, 1012, 102]",9
15,"[2198, 102, 1039, 1012, 102, 21146, 7512, 102, 1010, 102, 26008, 4095, 102, 29542, 13476, 102, 1010, 102, 23624, 4095, 102, 2033, 22893, 102, 1058, 6392, 2497, 102]",28
16,"[5076, 102, 18635, 102, 1010, 102, 6446, 102, 24665, 12462, 3630, 102, 1010, 102, 24020, 102, 29536, 21590, 11097, 8238, 102, 1010, 102, 8207, 102, 12943, 7033, 9589, 102, 1010, 102, 13489, 8717, 102, 2061, 3683, 24221, 102, 16660, 102]",40
17,"[10805, 102, 9258, 102, 1010, 102, 2957, 102, 6738, 102, 16660, 102]",12
18,"[7638, 102, 1056, 1012, 102, 12835, 102, 1010, 102, 5199, 2891, 102, 1047, 1012, 102, 5271, 2483, 102, 1010, 102, 13619, 8977, 102, 1041, 1012, 102, 22834, 11639, 28173, 2015, 102, 1010, 102, 18712, 8557, 6559, 102, 11895, 2213, 102, 16660, 102]",42
19,"[20879, 19845, 102, 12731, 2072, 102, 1010, 102, 7673, 102, 15536, 9527, 102, 1058, 6392, 2497, 102]",17
20,"[16660, 102, 16660, 102]",4
21,"[10147, 5946, 2102, 102, 6904, 2243, 7507, 3217, 2368, 8458, 4747, 102, 1010, 102, 3889, 102, 9610, 2368, 102, 1010, 102, 1062, 12848, 102, 3347, 1011, 10930, 11393, 2546, 102, 1010, 102, 3656, 102, 15214, 102, 1010, 102, 2852, 2953, 102, 11417, 5753, 102, 16660, 102]",46
22,"[16660, 102, 9033, 21693, 7716, 102, 2501, 102]",8
23,"[9060, 102, 13632, 102, 1010, 102, 10356, 22043, 2721, 102, 3520, 25879, 2072, 102, 1010, 102, 19569, 102, 6655, 7629, 2072, 102, 1010, 102, 29490, 102, 14324, 5740, 102, 1058, 6392, 2497, 102]",33
24,"[16660, 102, 16660, 102]",4
25,"[4422, 102, 1056, 1012, 102, 25283, 102, 1010, 102, 1046, 2100, 2232, 1011, 2014, 3070, 102, 20209, 102, 1010, 102, 9393, 102, 8183, 2226, 102, 1010, 102, 3744, 102, 2882, 5092, 2483, 102, 1010, 102, 22854, 102, 7418, 102, 1010, 102, 2017, 1011, 5413, 102, 11865, 2232, 102, 1010, 102, 11417, 17679, 102, 8802, 102, 1010, 102, 5912, 102, 2273, 5280, 3540, 102, 4717, 2891, 102, 1058, 6392, 2497, 102]",70
26,"[16660, 102, 1058, 6392, 2497, 102]",6
27,"[10799, 102, 1042, 1012, 102, 6583, 18533, 2239, 102, 1010, 102, 18816, 5063, 102, 11320, 2080, 102, 1058, 6392, 2497, 102]",21
28,"[16660, 102, 1058, 6392, 2497, 102, 1046, 1012, 102]",9
29,"[16660, 102, 16660, 102]",4
30,"[27788, 11783, 102, 11655, 19042, 19422, 102, 1010, 102, 24493, 5644, 102, 20441, 2121, 102, 1010, 102, 6221, 102, 12849, 4757, 5804, 102, 9033, 21693, 7716, 102, 3034, 102]",29
31,"[13619, 8977, 102, 1041, 1012, 102, 22834, 11639, 28173, 2015, 102, 1010, 102, 3814, 102, 27838, 2386, 18810, 102, 16660, 102]",21
32,"[21432, 102, 2156, 4590, 102, 1010, 102, 2848, 102, 15536, 22117, 4710, 2121, 102, 1010, 102, 8183, 8661, 102, 3158, 102, 7939, 102, 2022, 11890, 7520, 102, 16660, 102]",29
33,"[16660, 102, 1058, 6392, 2497, 102]",6
34,"[10590, 102, 7439, 1011, 25601, 102, 1010, 102, 26151, 2102, 102, 6845, 3695, 102, 1058, 6392, 2497, 102]",18
35,"[16660, 102, 1058, 6392, 2497, 102]",6
36,"[13619, 8977, 102, 13008, 19648, 12693, 25690, 2226, 102, 1010, 102, 6446, 102, 24665, 12462, 3630, 102, 1010, 102, 12436, 12439, 2483, 102, 17850, 2923, 28173, 2015, 102, 1058, 6392, 2497, 102]",32
37,"[16660, 102, 1058, 6392, 2497, 102, 1046, 1012, 102]",9
38,"[9195, 102, 1041, 1012, 102, 1040, 16363, 3385, 102, 16660, 102]",11
