,all_text_data,len
0,"[26142, 102, 24878, 2368, 102, 1010, 102, 20494, 102, 14008, 3489, 102, 2248, 102, 3034, 102, 2968, 102, 2951, 102]",20
1,"[11648, 102, 1042, 1012, 102, 8096, 102, 1010, 102, 23729, 102, 1049, 1012, 102, 2508, 102, 2248, 102, 3034, 102, 2968, 102, 2951, 102]",24
2,"[2012, 13890, 102, 8945, 15916, 23361, 2696, 3148, 102, 1010, 102, 8945, 8787, 6633, 102, 3841, 27815, 14431, 102, 1010, 102, 7094, 102, 21863, 7265, 102, 1010, 102, 2508, 102, 10154, 102, 1010, 102, 4901, 102, 3044, 102, 1010, 102, 9587, 4648, 2094, 102, 24209, 20715, 3490, 102, 16660, 102]",50
3,"[15775, 25451, 102, 3347, 2226, 102, 1010, 102, 23204, 16207, 102, 20512, 102, 1010, 102, 27515, 102, 11320, 2094, 102, 1004, 1001, 22238, 1025, 102, 8040, 5886, 102, 1010, 102, 2957, 102, 22548, 3630, 102, 1010, 102, 13619, 8977, 102, 13008, 19648, 12693, 25690, 2226, 102, 1010, 102, 18635, 102, 2310, 18393, 6806, 2615, 102, 1010, 102, 6320, 102, 14684, 102, 16660, 102]",63
4,"[16660, 102, 2248, 102, 3034, 102, 2968, 102, 2951, 102]",10
5,"[10852, 5051, 102, 24367, 102, 1010, 102, 7648, 102, 20934, 4143, 102, 1010, 102, 1062, 4048, 17236, 102, 9212, 102, 1010, 102, 5125, 102, 15898, 102, 1010, 102, 13031, 102, 15972, 102, 1010, 102, 27006, 20411, 102, 7632, 29183, 102, 1010, 102, 4575, 102, 5817, 102, 1010, 102, 3817, 102, 24404, 17426, 102, 1010, 102, 16858, 102, 2089, 2099, 102, 1010, 102, 7332, 102, 6728, 7389, 3540, 2243, 102, 1010, 102, 10975, 10696, 2368, 102, 7367, 7377, 13626, 2072, 102, 1010, 102, 15346, 102, 9033, 2226, 102, 2248, 102, 3034, 102, 2968, 102, 2951, 102]",95
6,"[16660, 102, 2248, 102, 3034, 102, 2968, 102, 2951, 102]",10
7,"[16660, 102, 2248, 102, 3034, 102, 2968, 102, 2951, 102]",10
8,"[1050, 1012, 102, 1054, 1012, 102, 14103, 102, 1010, 102, 1056, 1012, 102, 1046, 1012, 102, 5879, 102, 1010, 102, 1052, 1012, 102, 2521, 20363, 102, 16660, 102]",28
9,"[11945, 102, 14365, 102, 1010, 102, 3956, 102, 3841, 1011, 21146, 5313, 102, 16660, 102]",15
10,"[16660, 102, 9353, 2213, 102, 9033, 21693, 7716, 102, 2501, 102]",11
11,"[16660, 102, 9353, 2213, 102, 9033, 21693, 7716, 102, 2501, 102]",11
12,"[3235, 102, 12170, 2818, 3917, 102, 1010, 102, 10488, 2063, 102, 7367, 3351, 2615, 102, 1010, 102, 1046, 1012, 102, 6506, 102, 15634, 102, 9353, 2213, 102, 9033, 21693, 7716, 102, 2501, 102]",33
13,"[16660, 102, 16660, 102]",4
14,"[12075, 102, 14899, 6290, 102, 1010, 102, 2728, 102, 1043, 7393, 2232, 3683, 102, 16660, 102]",16
15,"[16660, 102, 9353, 2213, 102, 9033, 21693, 7716, 102, 2501, 102]",11
16,"[16660, 102, 16660, 102]",4
17,"[16660, 102, 2248, 102, 3034, 102, 2968, 102, 2951, 102]",10
18,"[16660, 102, 16660, 102]",4
19,"[2256, 2072, 102, 4702, 3385, 102, 1010, 102, 17476, 102, 24761, 19646, 2050, 102, 1010, 102, 8945, 102, 15990, 102, 1010, 102, 18414, 15444, 102, 14367, 102, 1010, 102, 3520, 102, 13904, 102, 16660, 102]",35
20,"[16660, 102, 2248, 102, 3034, 102, 2968, 102, 2951, 102]",10
21,"[16660, 102, 16660, 102]",4
22,"[16660, 102, 2248, 102, 3034, 102, 2968, 102, 2951, 102]",10
23,"[17885, 102, 15723, 3489, 102, 1010, 102, 21428, 102, 21864, 2595, 102, 1010, 102, 20239, 102, 1038, 10559, 2015, 102, 1010, 102, 17594, 102, 28444, 2078, 102, 1010, 102, 27834, 102, 23025, 8865, 2243, 102, 1010, 102, 8852, 102, 2358, 3771, 2140, 102, 16660, 102]",45
24,"[1041, 1012, 102, 1037, 1012, 102, 2448, 4181, 8602, 2121, 102, 1010, 102, 1047, 1012, 102, 5726, 16869, 102, 1010, 102, 1049, 1012, 102, 5622, 102, 1010, 102, 1048, 1012, 102, 8802, 102, 1010, 102, 1062, 1012, 102, 9327, 102, 1010, 102, 1039, 1012, 102, 14085, 5400, 8405, 102, 1010, 102, 1046, 1012, 102, 9743, 102, 1010, 102, 1055, 1012, 102, 2139, 102, 12967, 102, 1010, 102, 1055, 1012, 102, 11417, 3678, 102, 2248, 102, 3034, 102, 2968, 102, 2951, 102]",81
25,"[16660, 102, 16660, 102]",4
26,"[16660, 102, 2248, 102, 3034, 102, 2968, 102, 2951, 102]",10
