,all_text_data,len
0,"[16660, 102, 1058, 6392, 2497, 102]",6
1,"[1041, 28992, 4059, 102, 1010, 102, 1046, 102, 14899, 2239, 102, 16660, 102]",13
2,"[1052, 102, 25703, 2078, 102, 1010, 102, 14855, 5558, 9032, 102, 1010, 102, 4097, 102, 16660, 102]",17
3,"[16660, 102, 9033, 21693, 7716, 102, 2501, 102]",8
4,"[16660, 102, 16660, 102]",4
5,"[16660, 102, 1058, 6392, 2497, 102]",6
6,"[16660, 102, 1058, 6392, 2497, 102]",6
7,"[16660, 102, 9033, 21693, 7716, 102, 2501, 102]",8
8,"[16660, 102, 16660, 102]",4
9,"[1042, 102, 9587, 8043, 102, 1010, 102, 1047, 14995, 4757, 102, 1010, 102, 1059, 102, 1047, 8523, 102, 1058, 6392, 2497, 102]",22
10,"[16660, 102, 16660, 102]",4
11,"[16660, 102, 1058, 6392, 2497, 102]",6
12,"[1044, 102, 12849, 11624, 102, 9033, 21693, 7716, 102, 2501, 102]",11
13,"[1044, 102, 11320, 102, 1010, 102, 1047, 102, 9092, 102, 1010, 102, 4830, 2080, 102, 16660, 102]",17
14,"[16660, 102, 16660, 102]",4
15,"[16660, 102, 16660, 102]",4
16,"[1046, 102, 21500, 3917, 102, 16660, 102]",7
17,"[16660, 102, 16660, 102]",4
18,"[16660, 102, 9033, 21693, 7716, 102, 2501, 102]",8
19,"[1054, 102, 5185, 9126, 2102, 102, 1010, 102, 1054, 102, 29542, 13476, 102, 16660, 102]",15
20,"[1052, 102, 22996, 102, 1010, 102, 1046, 102, 6583, 18533, 2239, 102, 1010, 102, 7367, 7377, 13626, 2072, 102, 1010, 102, 1048, 102, 18716, 102, 1058, 6392, 2497, 102]",29
21,"[1047, 102, 14863, 14544, 102, 16660, 102]",7
22,"[13109, 7716, 2378, 102, 1010, 102, 15544, 11624, 102, 16660, 102]",11
23,"[20441, 2121, 102, 16660, 102]",5
24,"[16660, 102, 1058, 6392, 2497, 102]",6
25,"[1044, 102, 5035, 102, 9033, 21693, 7716, 102, 2501, 102]",10
26,"[16660, 102, 16660, 102]",4
27,"[1054, 102, 9413, 24979, 102, 1010, 102, 4487, 7520, 13348, 102, 16660, 102]",13
28,"[16660, 102, 1058, 6392, 2497, 102]",6
29,"[25022, 6632, 102, 1010, 102, 20934, 19944, 2078, 102, 9033, 21693, 7716, 102, 2501, 102]",15
30,"[16660, 102, 16660, 102]",4
31,"[8840, 11368, 102, 1010, 102, 10722, 26328, 102, 16660, 102]",10
32,"[16660, 102, 16660, 102]",4
33,"[16660, 102, 17338, 4103, 102]",5
34,"[1047, 102, 7680, 8717, 102, 1010, 102, 1047, 102, 8038, 6342, 15166, 102, 1010, 102, 1044, 102, 21829, 102, 1010, 102, 1050, 102, 2624, 8447, 102, 1010, 102, 10047, 4886, 102, 16660, 102]",33
35,"[1054, 102, 7958, 102, 9033, 21693, 7716, 102, 2501, 102]",10
36,"[2106, 15564, 5054, 102, 1010, 102, 1039, 102, 14891, 22254, 2080, 1011, 4190, 10980, 102, 1010, 102, 1041, 102, 27934, 2063, 102, 16660, 102]",24
37,"[16660, 102, 9033, 21693, 7716, 102, 2501, 102]",8
38,"[1041, 102, 10364, 7875, 22083, 102, 1010, 102, 7148, 7231, 6894, 102, 9033, 21693, 7716, 102, 2501, 102]",18
39,"[16660, 102, 16660, 102]",4
40,"[1043, 102, 22889, 12848, 7076, 13716, 102, 1010, 102, 1039, 102, 14857, 102, 1010, 102, 1054, 102, 1055, 3630, 2094, 19673, 102, 16660, 102]",24
41,"[16660, 102, 16660, 102]",4
42,"[1048, 102, 8607, 102, 16660, 102]",6
