,all_text_data,len
0,"[16660, 102, 23641, 102, 16660, 102]",6
1,"[15410, 102, 16660, 102, 16660, 102]",6
2,"[2694, 102, 16611, 102, 16660, 102, 16660, 102]",8
3,"[16660, 102, 1040, 1011, 4957, 102, 5887, 2015, 1011, 22096, 102]",11
4,"[16660, 102, 2707, 15937, 102, 16660, 102]",7
5,"[16660, 102, 1017, 2213, 102, 16660, 102]",7
6,"[16660, 102, 16660, 102, 1039, 16086, 11387, 2497, 102]",9
7,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
8,"[16660, 102, 2567, 102, 16660, 102]",6
9,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
10,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
11,"[16660, 102, 16660, 102, 16660, 102]",6
12,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 10114, 24096, 2620, 102]",12
13,"[16660, 102, 16660, 102, 7473, 12376, 2683, 102]",8
14,"[16660, 102, 6718, 102, 2132, 102, 15868, 12521, 8889, 5596, 102]",11
15,"[2276, 7301, 102, 1004, 102, 2436, 102, 10394, 102, 16660, 102, 2753, 24594, 102]",14
16,"[8139, 102, 1011, 102, 2236, 102, 1060, 2546, 2595, 102, 10751, 2575, 27531, 2595, 2480, 4859, 2278, 102]",18
17,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
18,"[5527, 102, 7601, 7840, 2050, 102, 16660, 102]",8
19,"[2276, 7301, 102, 1004, 102, 2436, 102, 10394, 102, 6522, 102, 1039, 18139, 21057, 2050, 102]",16
20,"[16660, 102, 16660, 102, 5764, 19317, 102]",7
21,"[14048, 102, 16660, 102, 1043, 6169, 2575, 16703, 25974, 2575, 102]",11
22,"[16660, 102, 8530, 102, 16660, 102]",6
23,"[2276, 7301, 102, 1004, 102, 2436, 102, 10394, 102, 12140, 102, 16660, 102]",13
24,"[16660, 102, 2632, 4648, 23125, 102, 24709, 22907, 22275, 102]",10
25,"[23557, 102, 16660, 102, 6522, 102, 8292, 22907, 2620, 2050, 102]",11
26,"[16660, 102, 16941, 11452, 102, 16660, 102]",7
27,"[8139, 102, 1011, 102, 2236, 102, 5917, 3540, 102, 16660, 102]",11
28,"[16660, 102, 16660, 102, 16660, 102]",6
29,"[16660, 102, 16660, 102, 24978, 2102, 1011, 4278, 22984, 1011, 1055, 2475, 102]",13
30,"[2143, 102, 8629, 102, 20933, 102, 16660, 102]",8
31,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 1042, 3567, 22907, 2620, 2475, 102]",14
32,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
33,"[16660, 102, 16660, 102, 16660, 102]",6
34,"[23557, 102, 6522, 102, 4868, 21084, 2629, 2050, 102]",9
35,"[16660, 102, 3419, 20389, 102, 1015, 13699, 8889, 16147, 24096, 102]",11
36,"[12109, 102, 5746, 102, 6335, 2226, 2615, 102, 10047, 2213, 16068, 2509, 2361, 8950, 102]",15
37,"[16660, 102, 16660, 102, 19015, 2692, 23777, 102]",8
38,"[7588, 102, 8152, 3238, 102, 16660, 102]",7
39,"[2524, 102, 9297, 102, 16660, 102, 23785, 2692, 2620, 102]",10
40,"[8139, 102, 1011, 102, 2236, 102, 4830, 1011, 5507, 2063, 102, 16660, 102]",13
41,"[3638, 102, 16660, 102, 16660, 102]",6
42,"[23378, 102, 16611, 102, 16660, 102, 9108, 2890, 2595, 19481, 14277, 1013, 1058, 2497, 102]",15
43,"[16660, 102, 9033, 8004, 102, 24582, 1011, 23475, 24096, 2475, 1011, 1055, 2475, 102]",14
44,"[8139, 102, 1011, 102, 2236, 102, 23641, 102, 9402, 14142, 2692, 102]",12
45,"[16660, 102, 23641, 102, 20741, 2692, 22394, 102]",8
46,"[8139, 102, 1011, 102, 2236, 102, 3191, 102, 2157, 102, 16660, 102]",12
47,"[16660, 102, 8530, 102, 16660, 102]",6
48,"[16660, 102, 1040, 2361, 102, 2678, 102, 16660, 102]",9
49,"[16660, 102, 16660, 102, 16660, 102]",6
50,"[2276, 7301, 102, 1004, 102, 2436, 102, 10394, 102, 16660, 102, 24902, 2575, 102]",14
51,"[2276, 7301, 102, 1004, 102, 2436, 102, 10394, 102, 16660, 102, 24429, 22932, 2497, 102]",15
52,"[14048, 102, 16660, 102, 16660, 102]",6
53,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 17528, 22407, 102]",11
54,"[16660, 102, 16660, 102, 16660, 102]",6
55,"[23378, 102, 16611, 102, 16660, 102, 1040, 5856, 15455, 1011, 3429, 23632, 102]",13
56,"[18833, 102, 9297, 102, 16660, 102, 16660, 102]",8
57,"[16660, 102, 16660, 102, 16660, 102]",6
58,"[8139, 102, 1011, 102, 2236, 102, 12411, 25311, 17580, 2121, 102, 14021, 19481, 2692, 11514, 102]",16
59,"[16660, 102, 19102, 102, 21144, 19646, 11387, 2629, 102]",9
60,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
61,"[7390, 102, 16660, 102, 26667, 18827, 102]",7
62,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
63,"[23378, 102, 16611, 102, 8115, 2135, 2618, 102, 8115, 2135, 2618, 102, 3690, 2692, 17465, 20958, 102]",17
64,"[16660, 102, 16660, 102, 16660, 102]",6
65,"[23557, 102, 16660, 102, 16660, 102]",6
66,"[16660, 102, 16660, 102, 16660, 102]",6
67,"[8139, 102, 1011, 102, 2236, 102, 7513, 102, 1054, 2912, 8889, 24096, 2549, 102]",14
68,"[16660, 102, 16660, 102, 16660, 102]",6
69,"[16660, 102, 16660, 102, 22214, 1011, 19827, 102]",8
70,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
71,"[16660, 102, 16660, 102, 1048, 16576, 2692, 102]",8
72,"[16660, 102, 16660, 102, 1047, 2575, 22407, 16048, 2271, 102]",10
73,"[23557, 102, 6522, 102, 16660, 102]",6
74,"[8139, 102, 1011, 102, 2236, 102, 15196, 102, 2175, 102, 16660, 102]",12
75,"[3638, 102, 3341, 102, 21877, 17465, 2683, 23632, 2509, 102]",10
76,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
77,"[8139, 102, 1011, 102, 2236, 102, 23641, 102, 16660, 102]",10
78,"[16660, 102, 2553, 102, 7961, 102, 16660, 102]",8
79,"[16660, 102, 16660, 102, 16660, 102]",6
80,"[2276, 7301, 102, 1004, 102, 2436, 102, 10394, 102, 16660, 102, 1058, 2480, 24096, 22907, 2692, 102]",17
81,"[16660, 102, 16660, 102, 5585, 26187, 2692, 102]",8
82,"[16660, 102, 21877, 19341, 2078, 102, 4040, 102, 10047, 11387, 12376, 2078, 2546, 102, 2304, 102]",16
83,"[16660, 102, 16660, 102, 10751, 19699, 2497, 2575, 102]",9
84,"[18833, 102, 9297, 102, 16660, 102, 16660, 102]",8
85,"[16660, 102, 8412, 102, 16660, 102]",6
86,"[16660, 102, 19102, 102, 3943, 1011, 5709, 17788, 1011, 5709, 102]",11
87,"[2547, 102, 16660, 102, 16660, 102]",6
88,"[16660, 102, 28352, 2102, 102, 29327, 12376, 102]",8
89,"[8139, 102, 1011, 102, 2236, 102, 16985, 12349, 102, 16660, 102]",11
90,"[18833, 102, 9297, 102, 14569, 1011, 3449, 8586, 102, 16660, 102]",11
91,"[16660, 102, 4830, 1011, 5507, 2063, 102, 16660, 102]",9
92,"[16660, 102, 16660, 102, 6421, 16147, 2581, 102]",8
93,"[16660, 102, 5746, 6767, 2595, 102, 16660, 102]",8
94,"[12328, 102, 16660, 102, 16660, 102]",6
95,"[23557, 102, 16660, 102, 16660, 102]",6
96,"[8139, 102, 1024, 102, 4257, 102, 5997, 102, 2694, 102, 12639, 102, 16660, 102]",14
97,"[8139, 102, 1011, 102, 2236, 102, 18749, 2666, 102, 18749, 17134, 2692, 2683, 2683, 2475, 102]",16
98,"[4007, 102, 19493, 102, 4007, 102, 11518, 27814, 102]",9
99,"[3617, 102, 8629, 102, 9330, 102, 2753, 19481, 2497, 8889, 2487, 11057, 102]",13
100,"[16660, 102, 1038, 2989, 102, 4007, 102, 16660, 102]",9
101,"[23378, 102, 16611, 102, 16660, 102, 16660, 102]",8
102,"[16660, 102, 16660, 102, 1047, 2595, 1011, 1056, 3654, 28756, 2692, 2497, 102]",13
103,"[16660, 102, 16660, 102, 16660, 102]",6
104,"[2188, 102, 4258, 102, 18168, 3490, 20048, 102, 16660, 102]",10
105,"[16660, 102, 16660, 102, 4368, 2050, 1011, 4013, 102]",9
106,"[8139, 102, 1011, 102, 2236, 102, 9514, 102, 16660, 102]",10
107,"[8139, 102, 1011, 102, 2236, 102, 16985, 12349, 102, 26226, 2099, 2575, 16576, 102]",14
108,"[2524, 102, 9297, 102, 10047, 3370, 102, 25162, 2692, 2581, 102]",11
109,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
110,"[5527, 102, 16660, 102, 1053, 2683, 28756, 8889, 102]",9
111,"[3638, 102, 3341, 102, 21877, 11387, 2581, 2581, 2683, 14142, 2475, 102]",12
112,"[16660, 102, 23641, 102, 16660, 102]",6
113,"[16660, 102, 23641, 102, 2541, 23833, 102]",7
114,"[16660, 102, 16660, 102, 16660, 102]",6
115,"[16660, 102, 7156, 102, 20704, 2594, 1011, 23343, 11387, 102]",10
116,"[2276, 7301, 102, 1004, 102, 2436, 102, 10394, 102, 16660, 102, 16660, 102]",13
117,"[16660, 102, 1058, 2581, 102, 1058, 2581, 2078, 2475, 2278, 2575, 1011, 2184, 2546, 1011, 24665, 7274, 102]",18
118,"[16660, 102, 2160, 102, 20160, 15909, 9286, 102, 16660, 102]",10
119,"[16660, 102, 5107, 102, 2455, 102, 16660, 102]",8
120,"[2482, 102, 12991, 2015, 102, 16660, 102, 1047, 13626, 16703, 2692, 102]",12
121,"[16660, 102, 19337, 4939, 102, 16660, 102]",7
122,"[2276, 7301, 102, 1004, 102, 2436, 102, 10394, 102, 16660, 102, 17196, 2692, 2549, 102]",15
123,"[16660, 102, 16660, 102, 16660, 102]",6
124,"[16660, 102, 16660, 102, 16660, 102]",6
125,"[8139, 102, 1011, 102, 2236, 102, 2707, 15937, 102, 16660, 102]",11
126,"[16660, 102, 16660, 102, 16660, 102]",6
127,"[16660, 102, 5917, 3540, 102, 16660, 102]",7
128,"[8139, 102, 1011, 102, 2236, 102, 29583, 102, 16660, 102]",10
129,"[27291, 102, 14658, 102, 16660, 102, 16660, 102]",8
130,"[16660, 102, 17775, 102, 1047, 23499, 14142, 2549, 2271, 102]",10
131,"[16660, 102, 16660, 102, 23961, 1011, 1059, 5603, 2226, 102]",10
132,"[16660, 102, 16660, 102, 11338, 2683, 2620, 2509, 3363, 1013, 1037, 102]",12
133,"[4007, 102, 16660, 102, 16660, 102]",6
134,"[11503, 27108, 13375, 102, 16660, 102, 16660, 102]",8
135,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
136,"[16660, 102, 16660, 102, 16660, 102]",6
137,"[16660, 102, 2305, 102, 13547, 102, 9348, 1011, 3429, 102]",10
138,"[16660, 102, 16660, 102, 24978, 2480, 1011, 14181, 2487, 102]",10
139,"[5855, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
140,"[8139, 102, 1011, 102, 2236, 102, 6090, 3022, 12356, 102, 1054, 2361, 1011, 1044, 2595, 12740, 1011, 1043, 102]",19
141,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 25941, 1011, 2456, 102]",12
142,"[16660, 102, 16941, 11452, 102, 16660, 102]",7
143,"[8139, 102, 1011, 102, 2236, 102, 12639, 102, 28144, 2575, 4160, 2278, 102]",13
144,"[16660, 102, 16660, 102, 16660, 102]",6
145,"[5855, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
146,"[16660, 102, 2707, 15937, 102, 1040, 5244, 2615, 3654, 2615, 3654, 2487, 102]",13
147,"[16660, 102, 16660, 102, 16660, 102]",6
148,"[16660, 102, 1060, 10624, 2595, 102, 10715, 2099, 8889, 28311, 2683, 102]",12
149,"[16660, 102, 16660, 102, 4724, 22022, 2581, 102]",8
150,"[2524, 102, 9297, 102, 3341, 102, 21877, 11387, 28756, 22407, 102]",11
151,"[16660, 102, 16660, 102, 16660, 102]",6
152,"[16660, 102, 23641, 102, 16660, 102]",6
153,"[16660, 102, 23641, 102, 16660, 102]",6
154,"[2188, 102, 2729, 102, 23729, 1011, 5215, 102, 2658, 102, 13138, 2620, 2620, 102]",14
155,"[23378, 102, 16611, 102, 7680, 3207, 2595, 102, 14748, 2683, 25746, 102]",12
156,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
157,"[16660, 102, 16660, 102, 16660, 102]",6
158,"[8139, 102, 1011, 102, 2236, 102, 9258, 102, 2974, 102, 16660, 102]",12
159,"[3042, 102, 16611, 102, 2373, 18900, 102, 16660, 102]",9
160,"[8139, 102, 1011, 102, 2236, 102, 10047, 3370, 102, 17696, 22610, 102]",12
161,"[2276, 7301, 102, 1004, 102, 2436, 102, 10394, 102, 16660, 102, 16660, 102]",13
162,"[16660, 102, 14397, 2239, 102, 3688, 102, 16660, 102]",9
163,"[16660, 102, 18133, 102, 6627, 102, 14071, 1011, 19936, 2692, 102]",11
164,"[14048, 102, 1040, 1011, 4957, 102, 16660, 102]",8
165,"[16660, 102, 16660, 102, 16660, 102]",6
166,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 11816, 2581, 2549, 102]",12
167,"[16660, 102, 16660, 102, 16660, 102]",6
168,"[23378, 102, 16611, 102, 15745, 2239, 102, 16660, 102]",9
169,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
170,"[8139, 102, 1011, 102, 2236, 102, 5917, 3540, 102, 16660, 102]",11
171,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
172,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
173,"[16660, 102, 24095, 102, 7706, 2575, 1011, 4002, 1011, 4002, 2546, 102]",12
174,"[3617, 102, 8629, 102, 8412, 102, 16233, 2278, 1011, 19067, 18613, 2615, 102]",13
175,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
176,"[2524, 102, 9297, 102, 16380, 10354, 2063, 102, 6643, 19841, 23352, 2692, 2226, 2487, 12541, 102]",16
177,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 1017, 2078, 2487, 26379, 102]",13
178,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 2038, 16048, 16223, 102]",12
179,"[16660, 102, 4012, 14289, 9623, 21748, 2100, 102, 10507, 2015, 28154, 19317, 2549, 102]",14
180,"[8139, 102, 1011, 102, 2236, 102, 16660, 102, 16660, 102]",10
181,"[16660, 102, 16660, 102, 3938, 17914, 2629, 102]",8
182,"[16660, 102, 16660, 102, 16215, 2480, 2692, 22275, 2271, 102]",10
183,"[8139, 102, 1011, 102, 2236, 102, 2707, 15937, 102, 16660, 102]",11
184,"[16660, 102, 16660, 102, 16660, 102]",6
185,"[16660, 102, 16660, 102, 5179, 22022, 2683, 102]",8
186,"[16660, 102, 16660, 102, 4749, 10790, 2575, 102]",8
187,"[16660, 102, 16660, 102, 24888, 2099, 17134, 22394, 2094, 2509, 4877, 2549, 2099, 2683, 2015, 1013, 1016, 2290, 102]",19
188,"[16660, 102, 2690, 102, 4448, 102, 16660, 102]",8
189,"[7588, 102, 16660, 102, 16660, 102]",6
190,"[8139, 102, 1011, 102, 2236, 102, 6090, 3022, 12356, 102, 1047, 2595, 1011, 6904, 17134, 2575, 102]",17
191,"[16660, 102, 16660, 102, 1040, 2243, 2615, 2213, 1011, 1022, 2063, 102]",12
192,"[2276, 7301, 102, 1004, 102, 2436, 102, 10394, 102, 16660, 102, 16660, 102]",13
193,"[2276, 7301, 102, 1004, 102, 2436, 102, 10394, 102, 20383, 2239, 102, 16660, 102]",14
194,"[16660, 102, 16660, 102, 16660, 102]",6
195,"[16660, 102, 28879, 15937, 102, 16233, 2575, 16068, 2487, 102]",10
196,"[16660, 102, 16660, 102, 11176, 24096, 2620, 102]",8
197,"[16660, 102, 16660, 102, 16660, 102]",6
198,"[16660, 102, 16660, 102, 16660, 102]",6
199,"[23378, 102, 16611, 102, 21934, 24759, 2964, 102, 16660, 102]",10
