,all_text_data,len
0,"[2132, 9864, 102, 16611, 102, 16660, 102, 15017, 17134, 2475, 102]",11
1,"[10710, 15759, 102, 15041, 102, 10710, 102, 12849, 23597, 102, 12904, 21619, 23632, 102]",14
2,"[7588, 102, 16611, 102, 9803, 102, 1047, 13535, 1011, 1040, 16703, 2692, 102, 1013, 102, 1015, 2290, 102]",18
3,"[12328, 102, 16660, 102, 16660, 102]",6
4,"[16660, 102, 17775, 102, 16660, 102]",6
5,"[3572, 102, 15114, 102, 16660, 102, 16660, 102]",8
6,"[16660, 102, 2074, 2629, 102, 1046, 12376, 2683, 28522, 3600, 102]",11
7,"[16660, 102, 10047, 3370, 102, 23272, 2487, 102]",8
8,"[4966, 1011, 1054, 102, 15303, 102, 10047, 3370, 102, 27367, 2692, 102]",12
9,"[9344, 102, 7192, 102, 16660, 102, 9353, 2692, 12376, 26187, 1011, 2199, 2487, 102]",14
10,"[16660, 102, 6522, 102, 16660, 102]",6
11,"[16660, 102, 16660, 102, 16660, 102]",6
12,"[9138, 102, 15041, 102, 4309, 2099, 102, 16660, 102, 16660, 102]",11
13,"[16660, 102, 6522, 102, 17324, 25746, 2549, 2050, 102]",9
14,"[9949, 102, 3229, 102, 2685, 102, 9881, 2075, 102, 2974, 102, 16660, 102]",13
15,"[16660, 102, 16660, 102, 1043, 2278, 21926, 2692, 21057, 102]",10
16,"[16660, 102, 2751, 24826, 2818, 102, 14181, 2278, 1011, 4002, 22394, 102]",12
17,"[16660, 102, 16660, 102, 5890, 2692, 1011, 4002, 2575, 2683, 2581, 1011, 4601, 102]",14
18,"[16660, 102, 16660, 102, 16660, 102]",6
19,"[3543, 102, 3898, 102, 13855, 102, 16611, 102, 25339, 102, 22519, 102, 16660, 102]",14
20,"[16660, 102, 4372, 2121, 5856, 6290, 102, 1041, 2683, 2629, 22540, 1011, 1022, 102]",14
21,"[16660, 102, 16660, 102, 16660, 102]",6
22,"[16660, 102, 16660, 102, 16660, 102]",6
23,"[3274, 102, 6177, 102, 3341, 102, 16660, 102]",8
24,"[5746, 102, 2678, 102, 16611, 102, 16660, 102, 1060, 25746, 21057, 2050, 1011, 1062, 1011, 21877, 102]",17
25,"[16660, 102, 3341, 102, 1040, 12521, 12740, 1011, 19235, 21084, 2575, 1011, 21877, 102]",14
26,"[16660, 102, 16258, 102, 16660, 102]",6
27,"[14048, 102, 3688, 102, 16660, 102, 1040, 2243, 2615, 2213, 1011, 17324, 102]",13
28,"[3617, 102, 4950, 102, 16611, 102, 16660, 102, 16660, 102]",10
29,"[16660, 102, 16660, 102, 11176, 2683, 102]",7
30,"[6327, 102, 2524, 102, 9297, 102, 2530, 102, 3617, 102, 16660, 102]",12
31,"[16660, 102, 12034, 10450, 2213, 102, 16660, 102]",8
32,"[8744, 102, 2865, 102, 12034, 10450, 2213, 102, 16660, 102]",10
33,"[3274, 102, 5830, 102, 15581, 2545, 102, 9874, 7159, 102, 10722, 2475, 1011, 3802, 18613, 102]",16
34,"[16660, 102, 16660, 102, 1056, 2140, 1011, 14405, 18827, 12521, 2094, 102]",12
35,"[16660, 102, 8915, 2243, 2078, 18938, 3258, 102, 16660, 102]",10
36,"[7588, 102, 16611, 102, 16985, 12349, 102, 2572, 2226, 28154, 2271, 102]",12
37,"[16660, 102, 16660, 102, 16660, 102]",6
38,"[16660, 102, 25353, 3676, 102, 16660, 102]",7
39,"[3143, 102, 4440, 7716, 102, 3197, 102, 16660, 102, 16660, 102]",11
40,"[16660, 102, 16660, 102, 18833, 17465, 8889, 16223, 102]",9
41,"[8641, 102, 3572, 102, 3948, 102, 18856, 27717, 10790, 1011, 1018, 102]",12
42,"[16660, 102, 16660, 102, 8040, 2232, 2487, 102]",8
43,"[16660, 102, 26769, 102, 10514, 2361, 1011, 2531, 102]",9
44,"[16660, 102, 9033, 8004, 102, 18414, 1011, 2199, 2692, 22203, 1011, 1055, 2487, 102]",14
45,"[16660, 102, 16660, 102, 24582, 1011, 23475, 14526, 2487, 1011, 1055, 2487, 102]",13
46,"[16983, 19185, 102, 6067, 102, 16994, 12494, 102, 16660, 102]",10
47,"[16660, 102, 16660, 102, 8840, 2278, 17914, 102]",8
48,"[23378, 102, 2867, 102, 5746, 6767, 2595, 102, 16215, 16576, 2692, 2475, 102]",13
49,"[16660, 102, 3737, 102, 2380, 102, 16660, 102]",8
50,"[16660, 102, 16660, 102, 18315, 2290, 27531, 22203, 2475, 2290, 2595, 2361, 2497, 102]",14
51,"[16660, 102, 7156, 102, 16660, 102]",6
52,"[16660, 102, 19087, 102, 16660, 102]",6
53,"[3274, 102, 8080, 102, 19363, 102, 8152, 3238, 102, 2358, 2575, 14142, 102]",13
54,"[16660, 102, 16660, 102, 16660, 102]",6
55,"[16660, 102, 16660, 102, 16660, 102]",6
56,"[14186, 102, 23569, 9626, 102, 16660, 102]",7
57,"[16660, 102, 16660, 102, 16660, 102]",6
58,"[16660, 102, 23205, 2239, 102, 16660, 102]",7
59,"[16660, 102, 16660, 102, 16660, 102]",6
60,"[16660, 102, 16660, 102, 16660, 102]",6
61,"[16660, 102, 16660, 102, 2753, 2361, 3501, 19481, 2692, 102]",10
62,"[16660, 102, 16660, 102, 16660, 102]",6
63,"[11503, 27108, 13375, 102, 16660, 102, 6640, 2683, 27531, 17134, 102]",11
64,"[16660, 102, 16660, 102, 6185, 17788, 2475, 102]",8
65,"[18649, 102, 15581, 2545, 102, 6522, 102, 16660, 102]",9
66,"[16660, 102, 16660, 102, 5890, 2692, 1011, 4002, 2620, 2683, 2581, 1011, 5890, 102]",14
67,"[16660, 102, 11721, 27512, 102, 5890, 2692, 1011, 4002, 2581, 2620, 2475, 1011, 2322, 102]",15
68,"[16660, 102, 1040, 24335, 2080, 102, 16660, 102]",8
69,"[16660, 102, 16660, 102, 2570, 1011, 19627, 1011, 5187, 22025, 102]",11
